;Investkosten;Ersparnisse Prosumer;Ersparnisse Consumer;Förderkosten;Eigenverbrauch;Erzeugung;Netzbezug;Netzeinspeisung;Verbrauch
0;;;;;;;;;
165;10579981,467380263;883522,4115359207;435405,6526316476;2948994,4402140784;184788,20731885626;4384200,772305402;209912,61056936232;4177045,8573747827;417067,52550000045
166;3438768,4668000014;91004,03858633862;5141,445277262388;731630,5400400005;36661,02822500002;230930,7720000008;321209,9360999992;135073,1826000001;417067,52550000045
167;4227889,766858031;177631,49969454826;57319,65465074215;968366,9300574092;113973,41765201134;646257,7720305432;257445,13204600455;486635,3785765476;417067,52550000045
168;5017011,066916063;258833,2821700596;100928,80623153727;1205103,320074819;137143,15388416726;1061584,772061086;238249,55227667032;882766,7988377566;417067,52550000045
169;5806132,366974089;338227,1636433213;143314,24950545162;1441839,7100922267;150561,25962260927;1476911,7720916239;228708,77922430614;1288553,025815933;417067,52550000045
170;6595253,66703212;416825,0132485614;185297,5071685088;1678576,1001096359;159802,2209802787;1892238,7721221694;222983,98540404596;1698155,232026215;417067,52550000045
171;7384374,967090128;495012,79082661815;227103,47832208214;1915312,4901270384;166704,49839145335;2307565,772152701;219129,76017188706;2109628,0068245935;417067,52550000045
172;8173496,26714817;572961,6539553222;268826,4440440178;2152048,880144451;172013,820276037;2722892,7721832525;216300,7574906662;2522126,00417392;417067,52550000045
173;8962617,567206187;650744,4346066321;310504,53543319757;2388785,270161856;176169,6368296435;3138219,7722137813;214143,59178444007;2935295,8384982287;417067,52550000045
174;9751738,867264254;728414,6594173943;352154,0732099244;2625521,660179276;179562,01689119384;3553546,7722443403;212435,81924064818;3348915,065984981;417067,52550000045
175;10540860,16732227;805995,3713136623;393785,5074324552;2862258,050196681;182391,90028900007;3968873,772274882;211070,77430412412;3762877,0210789945;417067,52550000045
176;11329981,467380263;883522,4115359207;435405,6526316476;3098994,4402140784;184788,20731885626;4384200,772305402;209912,61056936232;4177045,8573747827;417067,52550000045
177;4188768,4668000014;91004,03858633862;5141,445277262388;881630,5400400005;36661,02822500002;230930,7720000008;321209,9360999992;135073,1826000001;417067,52550000045
178;4977889,766858031;177631,49969454826;57319,65465074215;1118366,9300574092;113973,41765201134;646257,7720305432;257445,13204600455;486635,3785765476;417067,52550000045
179;5767011,066916063;258833,2821700596;100928,80623153727;1355103,320074819;137143,15388416726;1061584,772061086;238249,55227667032;882766,7988377566;417067,52550000045
180;6556132,366974089;338227,1636433213;143314,24950545162;1591839,7100922267;150561,25962260927;1476911,7720916239;228708,77922430614;1288553,025815933;417067,52550000045
181;7345253,66703212;416825,0132485614;185297,5071685088;1828576,1001096359;159802,2209802787;1892238,7721221694;222983,98540404596;1698155,232026215;417067,52550000045
182;8134374,967090128;495012,79082661815;227103,47832208214;2065312,4901270384;166704,49839145335;2307565,772152701;219129,76017188706;2109628,0068245935;417067,52550000045
183;8923496,26714817;572961,6539553222;268826,4440440178;2302048,880144451;172013,820276037;2722892,7721832525;216300,7574906662;2522126,00417392;417067,52550000045
184;9712617,567206187;650744,4346066321;310504,53543319757;2538785,270161856;176169,6368296435;3138219,7722137813;214143,59178444007;2935295,8384982287;417067,52550000045
185;10501738,867264254;728414,6594173943;352154,0732099244;2775521,660179276;179562,01689119384;3553546,7722443403;212435,81924064818;3348915,065984981;417067,52550000045
186;11290860,16732227;805995,3713136623;393785,5074324552;3012258,050196681;182391,90028900007;3968873,772274882;211070,77430412412;3762877,0210789945;417067,52550000045
187;12079981,467380263;883522,4115359207;435405,6526316476;3248994,4402140784;184788,20731885626;4384200,772305402;209912,61056936232;4177045,8573747827;417067,52550000045
